lat,lon,univ_research_count_5000m
4.2982839,103.4734967,0
4.3386146,101.139919,12
4.3474454,-74.377397,3
4.3827595,100.9701137,21
4.3940102,113.9880199,0
4.4404484,-75.2366432,7
4.5570781,101.1154345,2
4.6142765,-74.0632805,117
4.6287061,-74.0636499,127
4.6378368,9.4409446,0
4.6422895,-74.054163,123
4.7540263,-74.051508,15
4.7643972,103.4184463,0
4.7854606,-75.788322,2
4.7969856,6.9807492,0
4.8413432,31.5909037,5
4.8895453,114.9417574,2
4.8940715,6.9158749,3
4.9048627,114.93312,2
5.0296107,-75.4720406,13
5.0743694,-75.5081167,14
5.1486671,100.4954666,5
5.1700963,100.4785191,5
5.2975371,-2.0021859,1
5.320357,-4.016107,13
5.3296461,103.1383265,2
5.4065013,100.2559077,0
5.4124702,100.4125105,0
5.5,7.533333,0
5.5393405,95.3464739,10
5.5528455,95.3192908,8
5.5710358,5.8399303,1
5.6465979,-0.188004,13
5.7214921,100.4815981,2
5.910688,116.0919933,0
6.0354434,116.1227462,2
6.0371509,116.1201875,2
6.1318935,8.1435831,2
6.176989,1.2129952,22
6.227259,-75.5719699,40
6.2431452,-75.5554223,41
6.2477085,7.1167289,12
6.2642493,-75.599923,43
6.3344143,5.5998271,2
6.334997,-75.5582665,3
6.4076218,2.3399919,23
6.4422945,7.284743,0
6.4474305,100.2447219,2
6.4880723,3.8557195,1
6.5114693,3.3699982,4
6.6076575,5.9722713,0
6.6719097,-1.5672247,17
6.6985605,-1.6233086,2
6.7389461,44.2804067,0
6.7961127,79.901318,3
6.8200066,-5.2776034,2
6.8415384,80.0916472,2
6.8641025,7.4097397,1
7.0481029,38.47861,5
7.0529428,38.4995556,5
7.1409311,-73.1198652,11
7.2153933,124.2503707,4
7.2563571,80.5970538,20
7.293082,5.149673,3
7.3496824,5.1131915,1
7.3860026,-72.6495044,3
7.4170263,125.6239742,0
7.4184787,13.5433216,1
7.4477245,3.8967116,14
7.4625961,80.0222038,0
7.46993,5.73595,0
7.5204371,4.5233004,2
7.5484047,4.4978307,1
7.6232482,5.22274,0
7.6792877,36.8533248,3
7.8805359,5.3375344,0
7.9110519,-72.4997897,16
8.1212438,5.0773495,1
8.2415113,124.243977,1
8.2492332,77.3502525,1
8.4402406,76.9561334,2
8.4759307,4.6632267,2
8.4882267,76.947551,6
8.4960459,8.5147636,0
8.5410261,39.2705461,1
8.5414048,76.9058745,15
8.5441488,76.9043021,14
8.5454285,76.9078459,15
8.5495014,77.5805178,0
8.56667,34.76667,0
8.6772337,99.7309635,0
8.6871836,77.7258209,1
8.7331721,77.710255,0
8.7824973,77.6123532,1
8.8870533,76.5906696,0
8.9137199,76.6324404,0
8.9563958,125.5970272,2
8.9666172,38.708682,3
8.9807832,7.1753396,1
8.9897824,7.3870745,3
9.0238215,-79.5334607,11
9.0564814,76.5352232,0
9.4926289,77.8631831,0
9.5285956,76.8216631,0
9.5601364,77.6091287,0
9.5780844,76.6224038,3
9.6211038,41.8421949,2
9.6775387,76.5748234,2
