key,count2000
"-33.8832536,151.2003294",0.0
"-33.8848137,151.1876445",0.0
"-33.8889072,151.1894111",9.0
"-33.889186,151.181472",0.0
"-33.8896116,151.1800986",0.0
"-33.8909609,151.2275052",3.0
"-33.8913312,151.1822104",8.0
"-33.9167613,151.2355068",0.0
"-33.9170172,151.2251677",4.0
"-33.9175994,151.2312369",4.0
"-33.9176741,151.2383822",0.0
"-33.9458375,151.2431948",0.0
"-33.9567558,18.4675777",6.0
"-33.9670898,151.1340107",0.0
"-33.9847222,18.4625",0.0
"-34.0695548,150.7934788",1.0
"-34.4278083,150.893054",0.0
"-34.456293,-58.8642114",0.0
"-34.4901516,-58.8598887",0.0
"-34.5086718,-58.688352",0.0
"-34.5718124,-58.451801",0.0
"-34.5779656,-58.404202",8.0
"-34.5802662,-58.523858",0.0
"-34.5826124,-58.4291436",0.0
"-34.6078588,-58.4236777",0.0
"-34.6095579,-58.3887904",0.0
"-34.8836476,138.5341211",0.0
"-34.9206029,138.5866101",0.0
"-34.9281805,138.5999312",7.0
"-35.0213894,138.5688386",2.0
"-35.0248752,138.5734181",0.0
"-35.2365904,149.0845097",0.0
"-35.2828643,149.1209536",3.0
"-36.8328607,-73.0327515",0.0
"-36.852095,174.7631803",0.0
"-36.8596021,174.7697596",0.0
"-36.8596816,174.7697978",0.0
"-36.9641355,174.8424205",0.0
"-37.4539322,-61.9405031",0.0
"-37.5592658,143.8465183",0.0
"-37.6982468,145.0596757",3.0
"-37.7524788,145.0701284",0.0
"-37.7545198,144.9807272",0.0
"-37.7839745,144.9586743",0.0
"-37.7871148,144.9515533",0.0
"-37.7878809,175.281788",0.0
"-37.7960451,144.9610195",0.0
"-37.7969983,144.954471",0.0
"-37.8002283,144.9566943",46.0
"-37.8004228,144.9684343",0.0
"-37.8070939,144.9746855",50.0
"-37.8136145,145.1184053",0.0
"-37.8142454,144.9631732",0.0
"-37.8241371,144.9170886",0.0
"-37.8576088,145.0350666",0.0
"-37.9136906,145.1317971",3.0
"-37.9143766,145.1316672",0.0
"-37.9154576,145.1356034",0.0
"-37.9294344,145.1390557",0.0
"-38.1457064,145.1263742",0.0
"-38.7358908,-72.590538",0.0
"-39.8141262,-73.2459859",0.0
"-41.2887953,174.7772114",0.0
"-41.2909873,174.7683059",7.0
"-41.3088882,174.7802407",0.0
"-42.8825088,147.3281233",4.0
"-45.8694375,170.5087334",0.0
"-6.9411136,107.6661288",0.0
"-7.2663606,112.7862198",0.0
"1.2793412,103.8366065",2.0
"1.2803907,103.8384671",0.0
"1.2810701,103.8341581",0.0
"1.2854865,103.8396604",0.0
"1.2899175,103.8519072",0.0
"1.2939528,103.7824546",0.0
"1.2942758,103.7830488",0.0
"1.2959845,103.7766186",12.0
"1.2959872,103.7816726",0.0
"1.2962018,103.7768977",0.0
"1.3019927,103.7937682",0.0
"1.3105297,103.8467804",6.0
"1.3350784,103.7470316",0.0
"1.3484104,103.6829332",0.0
"10.0050587,76.367342",0.0
"10.0781833,78.7990272",6.0
"10.7320052,106.6984654",0.0
"10.7737261,106.7166008",0.0
"10.9628655,79.3853065",0.0
"11.1803845,-4.3050849",0.0
"11.2450558,75.7754716",0.0
"11.8540901,38.0434564",0.0
"12.1191543,15.0502758",0.0
"12.3681873,-1.5270944",0.0
"12.5825113,37.4425981",0.0
"12.8792168,79.1300117",0.0
"12.9342358,77.5343239",0.0
"12.9767936,77.590082",0.0
"13.0222347,77.5671832",0.0
"13.0719044,77.5781953",0.0
"13.0836939,80.270186",0.0
"13.0937908,77.5763429",0.0
"13.1242216,77.6147187",0.0
"13.7645937,100.5331697",0.0
"13.8784212,100.5699587",0.0
"14.0793369,100.5885128",0.0
"14.089068,-87.1972827",0.0
"14.9147209,-23.5157764",0.0
"15.361165,75.133643",2.0
"15.7763925,108.331904",0.0
"16.9734448,42.546317",0.0
"17.360589,78.4740613",0.0
"17.4367771,78.3815497",0.0
"17.5922751,78.1221891",0.0
"17.7094917,83.3009633",0.0
"18.0884354,42.713291",0.0
"18.384239,-66.05344",0.0
"18.4360271,-66.2003846",0.0
"18.8009264,98.9521552",0.0
"19.0374238,72.924454",0.0
"19.1326186,72.9149702",0.0
"19.3207722,-99.1514678",0.0
"19.3587457,-99.2728019",0.0
"2.8029227,101.8001051",0.0
"20.0618533,110.1870672",0.0
"20.2602964,85.8394521",0.0
"21.0283334,105.854041",0.0
"21.0283693,105.8469974",0.0
"21.0390039,105.7842623",0.0
"21.0684425,80.7970779",0.0
"21.2737079,110.3548318",0.0
"21.4294717,40.4766272",0.0
"21.4934146,39.2485449",22.0
"21.5789439,40.1245552",0.0
"22.1526454,113.568041",0.0
"22.2139931,113.5507412",0.0
"22.2481582,92.017677",0.0
"22.2527148,113.5297668",0.0
"22.273734,113.5721327",0.0
"22.2828768,114.1378586",0.0
"22.3044867,114.1796935",0.0
"22.3049255,114.1616003",0.0
"22.3357558,114.1825178",0.0
"22.3400205,114.1697162",0.0
"22.351008,113.5864644",0.0
"22.5197073,113.3872302",0.0
"22.5370531,113.9331054",0.0
"22.5445741,114.0545429",0.0
"22.5466946,114.1184141",0.0
"22.5474928,113.8912031",0.0
"22.550092,114.0493005",0.0
"22.5592647,114.0440949",0.0
"22.5726459,88.3638953",0.0
"22.603603,113.9968497",0.0
"22.6087239,113.1089894",0.0
"22.6477903,120.3102392",0.0
"22.6488589,120.3549046",0.0
"22.6505363,114.5216997",0.0
"22.6910685,114.207366",0.0
"22.7542732,113.9410547",0.0
"22.7547493,113.9410669",0.0
"22.7993363,113.9484996",0.0
"22.8001367,108.3472296",0.0
"22.8157737,108.318024",0.0
"22.9659968,89.8173175",0.0
"22.9831282,113.7641975",0.0
"23.0020611,120.219741",0.0
"23.0054188,113.2494952",0.0
"23.0183568,113.7452332",0.0
"23.0195072,113.4100461",0.0
"23.0216627,120.2215105",0.0
"23.0239788,113.1159558",0.0
"23.0373068,72.5447481",0.0
"23.0422533,113.4226338",0.0
"23.0996034,113.2923509",0.0
"23.1090145,113.3191477",0.0
"23.1125153,114.4127007",0.0
"23.1205707,113.2288682",0.0
"23.1255194,113.3191119",0.0
"23.1266611,113.396205",0.0
"23.1271095,113.2816692",0.0
"23.1288429,113.2589581",0.0
"23.1430189,113.3386042",0.0
"23.1513628,113.3015149",0.0
"23.1526233,113.2522641",0.0
"23.163608,113.2004916",0.0
"23.1676762,113.4479154",0.0
"23.1677396,113.3489458",1.0
"23.1784108,113.3513314",0.0
"23.1899352,113.3296269",0.0
"23.4870952,120.4618156",0.0
"23.5015262,120.4519677",0.0
"23.6012628,72.3741516",0.0
"23.7263266,90.4227994",2.0
"23.7312443,90.3915283",27.0
"23.7733146,90.424371",0.0
"23.815387,90.4261059",0.0
"23.8825492,90.2670388",0.0
"23.9108311,106.0728502",0.0
"24.0462096,120.6860308",0.0
"24.120844,120.6757137",0.0
"24.1540152,120.6833489",0.0
"24.1971844,55.6805834",0.0
"24.2448223,89.9128087",1.0
"24.4399419,118.0930178",0.0
"24.4479513,54.3955267",0.0
"24.4536863,118.0829001",0.0
"24.4855291,39.5428073",0.0
"24.4898318,86.6990182",0.0
"24.5082723,118.1074192",0.0
"24.523789,54.4347607",0.0
"24.638916,46.7160104",0.0
"24.706979,120.914761",0.0
"24.7248229,46.6233911",0.0
"24.7601353,105.2636737",0.0
"24.9796041,121.5880572",0.0
"24.9929995,121.3010003",0.0
"25.0009993,109.3414252",0.0
"25.0168175,121.5384571",0.0
"25.0252486,121.5614621",0.0
"25.0347435,102.7096647",0.0
"25.0399353,102.7169061",0.0
"25.0529979,121.6070593",0.0
"25.0775308,121.3916021",0.0
"25.1210142,121.5197341",0.0
"25.1224685,121.5129127",0.0
"25.1901863,118.338717",0.0
"25.2531083,51.4769048",0.0
"25.2848034,55.3215493",0.0
"25.3108807,51.5081812",0.0
"25.3719714,51.4879579",0.0
"25.4694307,30.5859416",0.0
"25.6705942,-100.3441603",0.0
"25.6851342,-80.338609",0.0
"25.6867061,-80.3368587",0.0
"25.7063713,119.3740652",1.0
"25.7172725,-80.2787069",0.0
"25.7741566,-80.1935973",0.0
"25.7885332,-80.2140065",0.0
"25.8332103,114.9287362",0.0
"25.9672332,119.6419367",0.0
"25.9873137,-80.2322706",0.0
"26.0061943,-80.2872086",0.0
"26.0296966,-80.2459321",0.0
"26.057783,-80.2695109",0.0
"26.0614068,119.1933416",0.0
"26.0774954,119.2918215",0.0
"26.0908582,43.9864354",0.0
"26.1515809,86.3353714",0.0
"26.1924788,91.6946357",1.0
"26.193218,118.2208721",0.0
"26.2395083,-98.2125487",0.0
"26.3586885,-80.0830984",0.0
"26.504444,102.6314476",0.0
"26.5878031,106.7086936",0.0
"26.6276045,75.0288021",0.0
"26.9260863,80.9381237",0.0
"27.049812,113.55087",0.0
"27.1734749,75.9553184",0.0
"27.2939333,-80.3503283",0.0
"27.4955539,77.6855554",0.0
"27.4989278,-82.5748194",0.0
"27.659483,110.143549",0.0
"27.6817867,85.2822295",0.0
"27.7098965,106.9412934",2.0
"27.7256127,68.8191099",0.0
"27.9371278,-82.4729758",2.0
"27.9449854,-82.4583107",3.0
"27.9963899,120.695345",2.0
"28.0120905,120.6690854",0.0
"28.0640672,-82.4217261",0.0
"28.121004,-15.4447095",0.0
"28.1450774,113.2384362",0.0
"28.1477054,-81.8487852",0.0
"28.1578368,112.9322974",6.0
"28.1843409,113.0783731",0.0
"28.319067,109.770431",0.0
"28.390701,36.4778623",0.0
"28.4568446,-16.291886",0.0
"28.4582345,79.4047452",0.0
"28.4704064,119.9184297",0.0
"28.5406742,-81.2810971",0.0
